,Title,ConversionRate
0,01/01/1976,2.0231
1,01/02/1976,2.0288
2,01/03/1976,2.0239
3,01/04/1976,1.8871
4,01/05/1976,1.8409
5,01/06/1976,1.7528
6,01/07/1976,1.7912
7,01/08/1976,1.7841
8,01/09/1976,1.774
9,01/10/1976,1.6611
10,01/11/1976,1.586
11,01/12/1976,1.662
12,01/01/1977,1.7021
13,01/02/1977,1.7155
14,01/03/1977,1.7128
15,01/04/1977,1.7195
16,01/05/1977,1.7193
17,01/06/1977,1.7194
18,01/07/1977,1.7198
19,01/08/1977,1.738
20,01/09/1977,1.7423
21,01/10/1977,1.7475
22,01/11/1977,1.8425
23,01/12/1977,1.8173
24,01/01/1978,1.9185
25,01/02/1978,1.9481
26,01/03/1978,1.9375
27,01/04/1978,1.8625
28,01/05/1978,1.8267
29,01/06/1978,1.8271
30,01/07/1978,1.8605
31,01/08/1978,1.9294
32,01/09/1978,1.9461
33,01/10/1978,1.9739
34,01/11/1978,1.9965
35,01/12/1978,1.936
36,01/01/1979,2.041
37,01/02/1979,1.9801
38,01/03/1979,2.023
39,01/04/1979,2.0665
40,01/05/1979,2.06
41,01/06/1979,2.0715
42,01/07/1979,2.1715
43,01/08/1979,2.2735
44,01/09/1979,2.2545
45,01/10/1979,2.1895
46,01/11/1979,2.0821
47,01/12/1979,2.198
48,01/01/1980,2.225
49,01/02/1980,2.2775
50,01/03/1980,2.2745
51,01/04/1980,2.14
52,01/05/1980,2.262
53,01/06/1980,2.345
54,01/07/1980,2.36
55,01/08/1980,2.3335
56,01/09/1980,2.4105
57,01/10/1980,2.3891
58,01/11/1980,2.4375
59,01/12/1980,2.35
60,01/01/1981,2.392
61,01/02/1981,2.3755
62,01/03/1981,2.2032
63,01/04/1981,2.241
64,01/05/1981,2.1425
65,01/06/1981,2.0608
66,01/07/1981,1.9045
67,01/08/1981,1.848
68,01/09/1981,1.8377
69,01/10/1981,1.8315
70,01/11/1981,1.8455
71,01/12/1981,1.9465
72,01/01/1982,1.911
73,01/02/1982,1.867
74,01/03/1982,1.8215
75,01/04/1982,1.7869
76,01/05/1982,1.797
77,01/06/1982,1.7878
78,01/07/1982,1.7347
79,01/08/1982,1.7405
80,01/09/1982,1.7225
81,01/10/1982,1.6975
82,01/11/1982,1.6781
83,01/12/1982,1.6302
84,01/01/1983,1.6175
85,01/02/1983,1.5255
86,01/03/1983,1.5077
87,01/04/1983,1.4816
88,01/05/1983,1.562
89,01/06/1983,1.589
90,01/07/1983,1.5326
91,01/08/1983,1.5119
92,01/09/1983,1.5
93,01/10/1983,1.495
94,01/11/1983,1.4942
95,01/12/1983,1.4595
96,01/01/1984,1.452
97,01/02/1984,1.4069
98,01/03/1984,1.4807
99,01/04/1984,1.4415
100,01/05/1984,1.396
101,01/06/1984,1.3955
102,01/07/1984,1.3563
103,01/08/1984,1.3012
104,01/09/1984,1.3098
105,01/10/1984,1.2385
106,01/11/1984,1.2251
107,01/12/1984,1.2037
108,01/01/1985,1.158
109,01/02/1985,1.128
110,01/03/1985,1.0715
111,01/04/1985,1.224
112,01/05/1985,1.2215
113,01/06/1985,1.2865
114,01/07/1985,1.3093
115,01/08/1985,1.3845
116,01/09/1985,1.3965
117,01/10/1985,1.404
118,01/11/1985,1.437
119,01/12/1985,1.4904
