Title,Gold Price
01/01/1979,104.6
01/02/1979,113.3
01/03/1979,122.5
01/04/1979,118.8
01/05/1979,115.4
01/06/1979,125.2
01/07/1979,132.1
01/08/1979,130.5
01/09/1979,134.5
01/10/1979,161.6
01/11/1979,182.6
01/12/1979,183.7
01/01/1980,207.2
01/02/1980,298.0
01/03/1980,290.5
01/04/1980,250.7
01/05/1980,233.6
01/06/1980,223.1
01/07/1980,257.0
01/08/1980,271.6
01/09/1980,264.5
01/10/1980,280.5
01/11/1980,273.6
01/12/1980,260.2
01/01/1981,253.7
01/02/1981,231.8
01/03/1981,217.9
01/04/1981,223.3
01/05/1981,227.6
01/06/1981,229.8
01/07/1981,233.4
01/08/1981,218.3
01/09/1981,225.3
01/10/1981,244.4
01/11/1981,237.7
01/12/1981,217.4
01/01/1982,215.3
01/02/1982,203.6
01/03/1982,202.6
01/04/1982,182.8
01/05/1982,197.8
01/06/1982,184.4
01/07/1982,179.2
01/08/1982,195.3
01/09/1982,210.8
01/10/1982,255.3
01/11/1982,248.7
01/12/1982,254.0
01/01/1983,274.6
01/02/1983,306.1
01/03/1983,320.6
01/04/1983,281.7
01/05/1983,280.7
01/06/1983,278.5
01/07/1983,266.8
01/08/1983,276.7
01/09/1983,277.0
01/10/1983,274.7
01/11/1983,262.8
01/12/1983,258.4
01/01/1984,270.9
01/02/1984,263.3
01/03/1984,267.9
01/04/1984,270.7
01/05/1984,268.1
01/06/1984,271.5
01/07/1984,274.3
01/08/1984,262.9
01/09/1984,264.8
01/10/1984,270.8
01/11/1984,278.7
01/12/1984,274.9
01/01/1985,269.1
01/02/1985,268.6
01/03/1985,273.6
01/04/1985,270.0
01/05/1985,262.1
01/06/1985,252.8
01/07/1985,247.0
01/08/1985,230.2
01/09/1985,238.3
01/10/1985,236.9
01/11/1985,229.2
01/12/1985,225.8
01/01/1986,222.7
01/02/1986,242.6
01/03/1986,237.1
01/04/1986,235.5
01/05/1986,227.2
01/06/1986,225.3
01/07/1986,227.1
01/08/1986,230.8
01/09/1986,253.2
01/10/1986,284.1
01/11/1986,296.8
01/12/1986,279.0
01/01/1987,272.4
01/02/1987,270.9
01/03/1987,262.5
01/04/1987,256.8
01/05/1987,268.6
01/06/1987,276.2
01/07/1987,276.0
01/08/1987,280.0
01/09/1987,288.6
01/10/1987,279.7
01/11/1987,280.0
01/12/1987,263.1
01/01/1988,266.6
01/02/1988,264.8
01/03/1988,251.5
01/04/1988,242.0
01/05/1988,240.5
01/06/1988,241.3
01/07/1988,254.0
01/08/1988,256.8
01/09/1988,254.0
01/10/1988,245.4
01/11/1988,234.1
01/12/1988,232.1
01/01/1989,229.0
01/02/1989,227.8
01/03/1989,220.9
01/04/1989,227.7
01/05/1989,226.0
01/06/1989,227.9
01/07/1989,236.7
01/08/1989,230.8
01/09/1989,228.8
01/10/1989,230.3
01/11/1989,231.2
01/12/1989,250.8
01/01/1990,257.0
01/02/1990,248.2
01/03/1990,245.7
01/04/1990,242.0
01/05/1990,228.5
01/06/1990,220.0
01/07/1990,206.0
01/08/1990,200.4
01/09/1990,207.8
01/10/1990,207.2
01/11/1990,195.6
01/12/1990,194.3
01/01/1991,195.6
01/02/1991,198.3
01/03/1991,185.2
01/04/1991,199.2
01/05/1991,204.9
01/06/1991,207.0
01/07/1991,222.3
01/08/1991,223.0
01/09/1991,211.5
01/10/1991,202.2
01/11/1991,208.2
01/12/1991,202.5
01/01/1992,198.9
01/02/1992,196.1
01/03/1992,199.1
01/04/1992,199.7
01/05/1992,192.6
01/06/1992,186.2
01/07/1992,183.7
01/08/1992,183.9
01/09/1992,176.7
01/10/1992,187.2
01/11/1992,208.1
01/12/1992,219.4
01/01/1993,215.1
01/02/1993,214.5
01/03/1993,228.9
01/04/1993,225.8
01/05/1993,221.3
01/06/1993,237.3
01/07/1993,246.6
