CPIH,ConversionRate
2.6,1.712
2.4,1.6027
2.2,1.629
2.1,1.6467
2.1,1.624
2.1,1.6375
2.4,1.658
2.3,1.6367
2.2,1.6125
2.2,1.6126
2.1,1.6766
1.9,1.6847
1.8,1.6453
1.8,1.635
1.9,1.6457
2.1,1.6748
2.2,1.6655
1.9,1.6373
1.7,1.6593
1.6,1.6355
1.7,1.6772
1.6,1.7018
1.7,1.6752
1.9,1.6529
2,1.664
1.9,1.6404
2.1,1.6075
2,1.6049
1.7,1.6103
1.8,1.6082
1.7,1.5775
1.6,1.6202
1.6,1.6041
1.5,1.6551
1.5,1.6423
1.5,1.5972
1.2,1.6121
1.2,1.6145
1,1.5845
0.9,1.5952
1,1.5638
1.2,1.4928
1.2,1.5141
1,1.5002
1.3,1.4608
1.4,1.4783
1.5,1.4475
1.2,1.4323
1.2,1.495
1.2,1.4777
1.3,1.4547
1.5,1.4217
1.9,1.4324
1.9,1.4148
1.7,1.4066
2.1,1.4319
1.7,1.4505
1.6,1.4784
1.2,1.4624
1.4,1.4259
1.8,1.4556
1.7,1.4138
1.7,1.4184
1.6,1.4241
1.2,1.462
1.1,1.4633
1.4,1.5293
1.3,1.5569
1.2,1.547
1.5,1.5696
1.6,1.5645
1.7,1.5559
1.4,1.6095
1.6,1.6437
1.6,1.5751
1.5,1.5746
1.3,1.6111
1.2,1.638
1.3,1.6625
1.4,1.608
1.3,1.5713
1.3,1.6678
1.3,1.6972
1.3,1.7218
1.5,1.7905
1.4,1.8202
1.2,1.8692
1.1,1.8577
1.4,1.7735
1.5,1.8374
1.4,1.8151
1.4,1.8187
1.2,1.7936
1.3,1.7961
1.5,1.8332
1.8,1.9283
1.7,1.9199
1.7,1.8799
2,1.9198
1.9,1.8888
1.9,1.91
2,1.8155
2.3,1.7717
2.4,1.7703
2.5,1.8291
2.4,1.7688
2.2,1.7614
2.1,1.7299
2.2,1.7166
2.2,1.7794
2,1.7531
2.2,1.7345
2.4,1.8179
2.6,1.8681
2.5,1.8494
2.6,1.8676
2.5,1.9034
2.5,1.8682
2.8,1.907
2.9,1.9807
2.7,1.957
2.7,1.9705
2.9,1.9576
2.7,1.9613
2.5,1.9992
2.5,1.979
2,2.0064
2,2.0293
2,2.0171
2.3,2.043
2.2,2.0817
2.3,2.0561
2.4,1.9909
2.6,1.9686
2.6,1.9892
3,1.9755
3.3,1.9746
3.7,1.9762
4.2,1.9914
4.4,1.9739
4.8,1.7988
4.2,1.7704
3.8,1.6158
3,1.4839
2.9,1.4376
3.1,1.4416
2.8,1.4255
2.3,1.438
2.1,1.4857
1.7,1.6428
1.6,1.6479
1.4,1.6579
1,1.6227
1.2,1.5986
1.5,1.6478
2.1,1.6627
2.6,1.6148
2.1,1.5903
2.4,1.4939
2.7,1.5282
2.5,1.5313
2.4,1.47
2.3,1.5113
2.4,1.5661
2.4,1.546
2.5,1.5811
2.6,1.6049
3.1,1.5571
3.4,1.5655
3.7,1.6154
3.5,1.6309
3.8,1.603
3.8,1.6648
3.6,1.6401
3.8,1.6046
3.9,1.6259
4.5,1.616
4.3,1.5579
4.1,1.5945
3.7,1.5683
3.2,1.5461
3.1,1.5859
3.1,1.5957
2.8,1.5981
2.5,1.622
2.3,1.5334
2.4,1.5686
2.3,1.5589
2.1,1.5882
2.4,1.6152
2.4,1.6142
2.4,1.6028
2.4,1.6168
2.5,1.5745
2.5,1.5009
2.2,1.5181
2.4,1.5552
2.6,1.5161
2.5,1.5225
2.4,1.5161
2.4,1.5471
2,1.6204
1.9,1.5922
1.9,1.6383
1.8,1.6528
1.6,1.6435
1.5,1.6758
1.7,1.6636
1.5,1.6895
1.8,1.6774
1.6,1.7138
1.5,1.6839
1.3,1.6615
1.3,1.6203
1.1,1.5999
0.7,1.5722
0.5,1.5608
0.4,1.5018
0.3,1.5451
0.3,1.4816
0.4,1.5177
0.3,1.5207
0.5,1.5633
0.4,1.5606
0.2,1.5325
0.2,1.5155
0.4,1.5443
0.5,1.5054
0.6,1.4819
0.6,1.4366
0.8,1.3925
0.7,1.4185
0.7,1.465
0.8,1.4414
0.9,1.327
1,1.3206
1.3,1.3299
1.3,1.2991
1.5,1.222
1.8,1.2622
1.9,1.2303
2.3,1.2647
2.3,1.2317
2.6,1.2507
2.7,1.2938
2.6,1.2903
2.6,1.299
2.7,1.3229
2.8,1.2973
2.8,1.3416
2.8,1.3257
2.7,1.349
2.7,1.351
2.5,1.4237
2.3,1.3725
2.2,1.4033
2.3,1.3596
2.3,1.3331
2.3,1.3203
2.4,1.3122
2.2,1.2994
2.2,1.3043
2.2,1.2974
2,1.276
1.8,1.2769
1.8,1.3093
1.8,1.3243
2,1.3141
1.9,1.3083
1.9,1.2602
2,1.2652
1.7,1.2152
1.7,1.2183
1.5,1.2223
1.5,1.2947
1.4,1.2936
1.8,1.321
1.7,1.3179
1.5,1.2776
0.9,1.2424
0.7,1.2547
0.8,1.2481
1.1,1.2458
0.5,1.3126
0.7,1.345
0.9,1.287
0.6,1.2933
0.8,1.3364
0.9,1.3649
0.7,1.3663
1,1.3938
1.6,1.3819
2.1,1.3845
2.4,1.4173
2.1,1.377
3,1.3907
2.9,1.3786
3.8,1.354
4.6,1.3678
4.8,1.3315
4.9,1.3477
5.5,1.3506
6.2,1.3352
7.8,1.3109
7.9,1.2556
8.2,1.2496
8.8,1.2005
8.6,1.2283
