CPIH,GDP
2.6,63.8
2.4,64.8
2.2,64.9
2.1,65.2
2.1,64.7
2.1,65.2
2.4,65.3
2.3,65.4
2.2,65.6
2.2,65.8
2.1,66.1
1.9,66.4
1.8,66.2
1.8,66.7
1.9,66.7
2.1,67.3
2.2,67
1.9,66.9
1.7,67.3
1.6,67.5
1.7,67.7
1.6,67.9
1.7,68.1
1.9,68.4
2,68.2
1.9,68.7
2.1,68.8
2,68.3
1.7,68.9
1.8,68.9
1.7,69.6
1.6,69.7
1.6,70
1.5,70.5
1.5,70.9
1.5,70.9
1.2,71.5
1.2,71.5
1,71.5
0.9,72
1,72.1
1.2,72.4
1.2,72.2
1,72.9
1.3,72.8
1.4,72.9
1.5,72.9
1.2,73.1
1.2,73.2
1.2,73.5
1.3,73.8
1.5,73.9
1.9,73.7
1.9,73.8
1.7,74
2.1,74.1
1.7,74
1.6,74.1
1.2,74
1.4,74
1.8,74.1
1.7,74.1
1.7,74.5
1.6,74.9
1.2,75.4
1.1,73.7
1.4,74.9
1.3,75
1.2,75.5
1.5,75.7
1.6,75.9
1.7,76
1.4,76.2
1.6,76.6
1.6,76.5
1.5,77
1.3,76.8
1.2,77.3
1.3,77.5
1.4,77.6
1.3,78.1
1.3,78.2
1.3,77.9
1.3,78.4
1.5,78.1
1.4,78.3
1.2,78.8
1.1,78.7
1.4,78.9
1.5,79.2
1.4,79.1
1.4,79.1
1.2,79.4
1.3,79.5
1.5,79.5
1.8,79.4
1.7,80.1
1.7,80.2
2,79.9
1.9,81
1.9,80.7
2,81
2.3,81.6
2.4,81.5
2.5,81.8
2.4,81.9
2.2,82.6
2.1,83.2
2.2,82.5
2.2,82.7
2,83.1
2.2,82.8
2.4,83.1
2.6,83.4
2.5,82.8
2.6,83.3
2.5,83.6
2.5,83.3
2.8,83.5
2.9,83.8
2.7,84
2.7,84.6
2.9,84.9
2.7,84.9
2.5,85
2.5,85
2,85.1
2,85.8
2,85.8
2.3,85.6
2.2,86.2
2.3,86.6
2.4,86.8
2.6,86.9
2.6,86.4
3,87
3.3,86.3
3.7,86.1
4.2,85.4
4.4,85.3
4.8,84.4
4.2,83.7
3.8,82.9
3,82.7
2.9,82
3.1,81.7
2.8,80.9
2.3,81.8
2.1,80.8
1.7,81
1.6,81.6
1.4,81.2
1,81.6
1.2,81.6
1.5,81.7
2.1,82
2.6,81.4
2.1,82.8
2.4,83.4
2.7,83.3
2.5,83.6
2.4,83.8
2.3,83.9
2.4,84.1
2.4,84.3
2.5,84.6
2.6,84.4
3.1,83.6
3.4,83.9
3.7,84.3
3.5,84.5
3.8,83.8
3.8,84.7
3.6,84.7
3.8,84.8
3.9,84.5
4.5,84.8
4.3,84
4.1,85
3.7,85.6
3.2,85.9
3.1,85.2
3.1,85.7
2.8,85.1
2.5,86.3
2.3,85.2
2.4,86.6
2.3,87
2.1,85.9
2.4,86.2
2.4,86.4
2.4,86.3
2.4,86.2
2.5,86.9
2.5,86.9
2.2,86.8
2.4,87.2
2.6,87.3
2.5,87.7
2.4,87.9
2.4,87.9
2,88.5
1.9,88.4
1.9,88
1.8,88.3
1.6,89.1
1.5,89.8
1.7,89.8
1.5,90.1
1.8,90.2
1.6,90.7
1.5,90.6
1.3,91
1.3,91.2
1.1,91.2
0.7,91.6
0.5,91.3
0.4,91.6
0.3,91.8
0.3,92.3
0.4,92.1
0.3,92
0.5,92.3
0.4,92.3
0.2,92.6
0.2,93
0.4,93
0.5,93.1
0.6,93.1
0.6,93.4
0.8,93.7
0.7,94.2
0.7,94
0.8,94.2
0.9,94.6
1,94.6
1.3,94.9
1.3,95.1
1.5,95.3
1.8,95.4
1.9,95.8
2.3,95.9
2.3,96
2.6,96.2
2.7,96.5
2.6,96.6
2.6,96.7
2.7,97
2.8,97.5
2.8,97.5
2.8,97.8
2.7,97.4
2.7,97.4
2.5,97.4
2.3,97.9
2.2,97.7
2.3,98.1
2.3,98.3
2.3,98.5
2.4,98.7
2.2,98.8
2.2,98.7
2.2,99.1
2,99
1.8,99.3
1.8,99.7
1.8,99.7
2,99.3
1.9,99.6
1.9,99.9
2,100.3
1.7,100.3
1.7,100.7
1.5,100.5
1.5,100.3
1.4,100.4
1.8,100.7
1.7,100.2
1.5,93.1
0.9,73.7
0.7,76
0.8,82.8
1.1,88.9
0.5,90.8
0.7,91.8
0.9,92.3
0.6,90.7
0.8,92.3
0.9,89.5
0.7,90.1
1,92.3
1.6,95.2
2.1,96.6
2.4,97.6
2.1,97.4
3,98.2
2.9,98.8
3.8,99
4.6,100
4.8,100.1
4.9,100.3
5.5,100.4
6.2,100.5
7.8,100.5
7.9,101
8.2,100.4
8.8,100.7
8.6,100.6
