CPIH,GoldPrices
2.6,222.1
2.4,214.1
2.2,213.3
2.1,219
2.1,211.4
2.1,210.5
2.4,207.2
2.3,194.1
2.2,202.1
2.2,201.6
2.1,199
1.9,181.2
1.8,173.9
1.8,176.7
1.9,181.3
2.1,178.1
2.2,184.3
1.9,182.7
1.7,177.1
1.6,178.2
1.7,174.1
1.6,171.8
1.7,174.6
1.9,177
2,174.6
1.9,173.9
2.1,176.5
2,176.3
1.7,175.5
1.8,171.1
1.7,163.8
1.6,162.6
1.6,159.7
1.5,162.9
1.5,187.5
1.5,180.8
1.2,175.5
1.2,173.3
1,187.4
0.9,181.2
1,176.6
1.2,182.6
1.2,189.4
1,186.6
1.3,184.1
1.4,190.7
1.5,186.1
1.2,186.6
1.2,186
1.2,179.8
1.3,180.2
1.5,182
1.9,181.5
1.9,191
1.7,192.8
2.1,189.2
1.7,189.6
1.6,193.7
1.2,195
1.4,192.4
1.8,191.6
1.7,196.6
1.7,207.7
1.6,206.7
1.2,209.7
1.1,215.5
1.4,216.2
1.3,201.5
1.2,201.8
1.5,205.1
1.6,203.3
1.7,202.9
1.4,209.4
1.6,220.7
1.6,223.2
1.5,215
1.3,208.4
1.2,219.1
1.3,214.6
1.4,216.2
1.3,225.6
1.3,235
1.3,225.7
1.3,230.7
1.5,232.9
1.4,226.9
1.2,216.8
1.1,222.6
1.4,223.9
1.5,214.7
1.4,214.7
1.4,216
1.2,219.9
1.3,226.1
1.5,232.8
1.8,236.2
1.7,229.3
1.7,226
2,224.3
1.9,227.7
1.9,226.4
2,227.6
2.3,236.9
2.4,242.4
2.5,244.1
2.4,252.4
2.2,266.4
2.1,275
2.2,291.7
2.2,311
2,317.7
2.2,319.5
2.4,345.2
2.6,361.1
2.5,323.4
2.6,343.5
2.5,333.9
2.5,317.4
2.8,312.3
2.9,328.4
2.7,320.7
2.7,322.2
2.9,339.5
2.7,336.3
2.5,341.2
2.5,336.2
2,330
2,327.1
2,330.9
2.3,353.1
2.2,369
2.3,389.5
2.4,397.3
2.6,451.6
2.6,469.6
3,483.4
3.3,459.1
3.7,452.4
4.2,452.4
4.4,472.7
4.8,444.1
4.2,461.1
3.8,476.8
3,496.5
2.9,548.1
3.1,595
2.8,654.8
2.3,652.2
2.1,605.1
1.7,602
1.6,577.9
1.4,570.8
1,574.1
1.2,610.4
1.5,644.1
2.1,679.1
2.6,697.7
2.1,691.8
2.4,701.6
2.7,739.6
2.5,748.8
2.4,824.4
2.3,835.3
2.4,780
2.4,776.6
2.5,815.9
2.6,846
3.1,858.4
3.4,891
3.7,858.9
3.5,851
3.8,881.2
3.8,901.6
3.6,926
3.8,942.8
3.9,974.1
4.5,1074
4.3,1122.3
4.1,1056.6
3.7,1100.3
3.2,1060
3.1,1067.7
3.1,1102.8
2.8,1057.9
2.5,1030.4
2.3,996.9
2.4,1025.4
2.3,1022.5
2.1,1034.4
2.4,1082.3
2.4,1086.5
2.4,1078.4
2.4,1046.2
2.5,1047.2
2.5,1051.5
2.2,1056.5
2.4,969.7
2.6,924.7
2.5,867.1
2.4,848
2.4,868.7
2,850.5
1.9,817.8
1.9,792.4
1.8,748.7
1.6,755.8
1.5,785.2
1.7,803.8
1.5,775.8
1.8,764.4
1.6,756.5
1.5,768.1
1.3,775.6
1.3,759.8
1.1,760.8
0.7,745.5
0.5,768.4
0.4,826.8
0.3,800.5
0.3,788
0.4,800.6
0.3,775.1
0.5,759
0.4,726.3
0.2,717.1
0.2,733.7
0.4,755.7
0.5,714.7
0.6,712.5
0.6,763.3
0.8,839.7
0.7,874.7
0.7,868
0.8,867.6
0.9,900.1
1,1017.7
1.3,1023.7
1.3,1009
1.5,1027.5
1.8,994.3
1.9,920.4
2.3,965.9
2.3,988.3
2.6,996.9
2.7,1000.6
2.6,962.7
2.6,983.6
2.7,951.4
2.8,990
2.8,987.4
2.8,969.6
2.7,970.1
2.7,941.5
2.5,962.9
2.3,953.8
2.2,948.3
2.3,947.8
2.3,968.2
2.3,964.4
2.4,940.5
2.2,932.7
2.2,917.6
2.2,934.2
2,946.5
1.8,986.1
1.8,1001.4
1.8,1014.2
2,988.1
1.9,986.8
1.9,1000
2,1071.9
1.7,1133.5
1.7,1233.2
1.5,1223.4
1.5,1182.6
1.4,1141
1.8,1125.9
1.7,1194
1.5,1232.7
0.9,1288.1
0.7,1356
0.8,1395.7
1.1,1383.3
0.5,1452.1
0.7,1500.2
0.9,1483.7
0.6,1463.4
0.8,1411
0.9,1384.2
0.7,1369.5
1,1304
1.6,1239.8
2.1,1272.6
2.4,1315
2.1,1307.9
3,1308.8
2.9,1292.9
3.8,1294.2
4.6,1297.4
4.8,1353.7
4.9,1344.8
5.5,1339.6
6.2,1371.3
7.8,1478.7
7.9,1497.3
8.2,1485.4
8.8,1491.6
8.6,1448.2
