Actual Data,Bank Rate,Conversion Rate,CPIH,GDP,Gold Prices,House Prices,Unemployment
2.8,2.799419487,1.756056434,2.913010085,3.096735454,2.917201221,3.039007664,1.841840792
2.7,2.806201911,1.70218569,2.907342756,3.111269259,2.900923622,3.020899081,1.816737843
2.7,2.768441379,1.647065777,2.800514841,2.94156909,2.837678754,2.886314416,1.77660194
2.5,2.785156024,1.592921811,2.792833924,2.755640674,2.791274929,2.799857354,1.675252169
2.3,2.688713825,1.550441247,2.588579774,2.518368232,2.707617533,2.564249194,1.521677017
2.2,2.460883093,1.523101115,2.369092929,2.187680829,2.62507633,2.201706851,1.388555247
2.3,2.239506316,1.451130837,2.274221104,1.876112914,2.519665933,1.996542966,1.309544471
2.3,2.199861336,1.392422026,2.385448396,1.746625555,2.409302449,2.11723637,1.28791869
2.3,2.251269931,1.325417447,2.399070001,1.770031732,2.338132644,2.223682213,1.213721237
2.4,2.290385878,1.241807348,2.397284806,1.810489112,2.30268538,2.23080942,1.141452718
2.2,2.365873492,1.172471747,2.511893988,1.891874915,2.312991035,2.306152403,1.169618341
2.2,2.325056112,1.095827979,2.31048913,1.813531017,2.333205467,2.083653128,1.200047812
2.2,2.312673122,1.024411821,2.291412276,1.64060387,2.342614001,1.940522504,1.174975845
2,2.333339542,0.979901767,2.30902034,1.535220343,2.347666204,1.964525574,1.148886734
1.8,2.206512702,0.929009318,2.099640918,1.388770205,2.334172094,1.780245399,1.090473217
1.8,1.947502065,0.834706283,1.89484238,1.124885994,2.273137951,1.459578913,0.948781496
1.8,1.77974776,0.756349944,1.899673456,0.913360897,2.181827331,1.389073038,0.861288166
2,1.750693309,0.7374632,1.909630489,0.84368346,2.083285999,1.467724156,0.83079111
1.9,1.912417543,0.820305043,2.107937098,0.984129232,2.023936975,1.755958414,0.891633189
1.9,1.976911718,0.927986348,2.024043357,1.173931694,2.008846033,1.7507927,0.922111601
2,1.940755558,1.000096869,2.007180244,1.301102084,2.044128788,1.648851109,0.89129526
1.7,1.95719232,1.019754303,2.121813965,1.41410374,2.124302846,1.749743408,0.883459157
1.7,1.797761613,0.950133279,1.829520863,1.327732497,2.167574012,1.457107717,0.844004938
1.5,1.646241039,0.786505267,1.802785164,1.131614405,2.177072614,1.266294554,0.776237243
1.5,1.496698272,0.583986753,1.638810861,0.910843638,2.124831742,1.077288178,0.723163888
1.4,1.443668032,0.425299215,1.617351782,0.761008114,2.008115065,1.033042091,0.70039717
1.8,1.425487065,0.365129429,1.542498761,0.699213186,1.85965929,0.982001927,0.685144186
1.7,1.702962172,0.46960144,1.917111254,0.800560763,1.769449371,1.40834223,0.850780508
1.5,1.864196718,0.683678207,1.848476529,0.97472344,1.75363034,1.504551238,0.992306966
0.9,1.716566229,0.846393332,1.626577163,1.016085276,1.764301479,1.202157363,0.891885984
0.7,1.072986203,0.792134553,1.117318588,0.786923325,1.690816212,0.431893346,0.580710971
0.8,0.364632612,0.558763644,0.925078586,0.545339313,1.504926455,0.008548337,0.31649459
1.1,0.312765792,0.285113093,1.024285972,0.488687205,1.262826708,0.162122804,0.388651243
0.5,0.903806841,0.118241858,1.27908107,0.676847869,1.041778469,0.632228965,0.82451928
0.7,0.904498601,-0.0264516,0.808549929,0.92524474,0.855634615,0.101756841,0.985555524
0.9,0.745233157,-0.040446776,0.917835948,1.091012874,0.753925906,-0.012032264,0.952174628
0.6,0.771359248,0.060592622,1.136769974,1.208912987,0.688939473,0.342962277,1.047201228
0.8,0.645507842,0.136576915,0.877854684,1.178028238,0.639617878,0.13335734,1.071901062
0.9,0.633947602,0.211434323,1.013420302,1.085201943,0.56616661,0.171107727,1.173110041
0.7,0.786387917,0.370297062,1.131123072,0.993756494,0.485904744,0.376812845,1.348873252
1,0.771498498,0.523317134,0.952655199,0.876236466,0.404184577,0.173719305,1.326772177
1.6,0.888349798,0.704040903,1.188396406,0.880208462,0.329037771,0.40028654,1.246475491
2.1,1.404221147,1.013511536,1.765759438,1.201014781,0.327670085,1.214304695,1.511284721
2.4,2.048047799,1.484896958,2.261373103,1.980945611,0.358066928,2.065099001,1.930953574
2.1,2.45312897,2.073964244,2.562112772,3.123383415,0.358167759,2.612462616,2.074869454
3,2.307572526,2.536855459,2.246382785,3.360784173,0.386391371,1.840875399,1.748004687
2.9,2.691423833,2.758538771,3.198571897,3.501727104,0.761635029,2.460661966,1.823988706
3.8,3.021223986,2.694109988,3.110070264,3.67241652,1.599897122,3.152962375,2.214829856
4.6,3.654770482,2.553400111,4.000192118,4.530878377,2.730184305,4.125527275,2.76172092
4.8,4.348673069,2.490420514,4.78554132,6.45017097,3.378293669,5.530759144,3.544322824
4.9,4.468802893,2.434090912,4.742905569,7.30975697,3.615295768,6.411815739,3.745618558
5.5,4.355462897,2.256790709,4.725503826,6.882874131,3.697594321,6.596304703,3.316921735
6.2,4.388195765,2.11604656,5.150053382,7.174999571,3.724144673,6.709984684,3.381736565
7.8,4.541064215,2.075127733,5.465228152,8.419372249,3.743062639,6.952155924,4.245833397
7.9,4.877420044,2.137761313,5.968698072,9.765717363,3.774417472,7.272801161,5.499252415
8.2,4.981759763,2.052442789,5.714636683,9.536370134,3.799598837,7.804955387,5.263505793
8.8,5.044380593,1.847330177,5.68293364,8.31857934,3.811143517,7.47653656,4.11338954
8.6,5.153852987,1.663043559,5.796682167,7.15841434,3.817551959,7.178849077,3.84870801
