GDP,CPIH,BankRate,HousePrices,Unemployment,ConversionRate,GoldPrices
63.8,2.6,5.94,60698.40391,7.5,1.712,222.10
64.8,2.4,5.94,60698.40391,7.3,1.6027,214.10
64.9,2.2,5.94,60698.40391,7.2,1.629,213.30
65.2,2.1,5.94,61946.00292,7.2,1.6467,219.00
64.7,2.1,5.94,61946.00292,7.2,1.624,211.40
65.2,2.1,6.25,61946.00292,7.3,1.6375,210.50
65.3,2.4,6.5,65092.12215,7.1,1.658,207.20
65.4,2.3,6.75,65092.12215,6.8,1.6367,194.10
65.6,2.2,7,65092.12215,6.7,1.6125,202.10
65.8,2.2,7,64603.93124,6.6,1.6126,201.60
66.1,2.1,7,64603.93124,6.5,1.6766,199.00
66.4,1.9,7.25,64603.93124,6.4,1.6847,181.20
66.2,1.8,7.25,66231.23429,6.4,1.6453,173.90
66.7,1.8,7.25,66231.23429,6.4,1.635,176.70
66.7,1.9,7.25,66231.23429,6.3,1.6457,181.30
67.3,2.1,7.25,69757.05758,6.3,1.6748,178.10
67,2.2,7.25,69757.05758,6.3,1.6655,184.30
66.9,1.9,7.25,69757.05758,6.3,1.6373,182.70
67.3,1.7,7.5,72794.68994,6.3,1.6593,177.10
67.5,1.6,7.5,72794.68994,6.2,1.6355,178.20
67.7,1.7,7.5,72794.68994,6.2,1.6772,174.10
67.9,1.6,7.5,72469.22933,6.2,1.7018,171.80
68.1,1.7,7.25,72469.22933,6.1,1.6752,174.60
68.4,1.9,6.75,72469.22933,6.2,1.6529,177.00
68.2,2,6.25,72903.17681,6.2,1.664,174.60
68.7,1.9,6,72903.17681,6.2,1.6404,173.90
68.8,2.1,5.5,72903.17681,6.2,1.6075,176.50
68.3,2,5.5,75995.05261,6.1,1.6049,176.30
68.9,1.7,5.25,75995.05261,6,1.6103,175.50
68.9,1.8,5.25,75995.05261,6,1.6082,171.10
69.6,1.7,5,80443.0143,5.9,1.5775,163.80
69.7,1.6,5,80443.0143,5.9,1.6202,162.60
70,1.6,5,80443.0143,5.8,1.6041,159.70
70.5,1.5,5.25,82504.26483,5.8,1.6551,162.90
70.9,1.5,5.25,82504.26483,5.8,1.6423,187.50
70.9,1.5,5.5,82504.26483,5.9,1.5972,180.80
71.5,1.2,5.5,84619.7588,5.8,1.6121,175.50
71.5,1.2,5.75,84619.7588,5.8,1.6145,173.30
71.5,1,6,84619.7588,5.7,1.5845,187.40
72,0.9,6,89230.45079,5.6,1.5952,181.20
72.1,1,6,89230.45079,5.5,1.5638,176.60
72.4,1.2,6,89230.45079,5.3,1.4928,182.60
72.2,1.2,6,90911.99728,5.3,1.5141,189.40
72.9,1,6,90911.99728,5.3,1.5002,186.60
72.8,1.3,6,90911.99728,5.4,1.4608,184.10
72.9,1.4,6,93624.16903,5.3,1.4783,190.70
72.9,1.5,6,93624.16903,5.2,1.4475,186.10
73.1,1.2,6,93624.16903,5.2,1.4323,186.60
73.2,1.2,6,93135.97812,5.2,1.495,186.00
73.5,1.2,6,93135.97812,5.1,1.4777,179.80
73.8,1.3,5.75,93135.97812,5,1.4547,180.20
73.9,1.5,5.75,96499.07109,4.9,1.4217,182.00
73.7,1.9,5.5,96499.07109,5,1.4324,181.50
73.8,1.9,5.25,96499.07109,5,1.4148,191.00
74,1.7,5.25,99970.65094,5.1,1.4066,192.80
74.1,2.1,5.25,99970.65094,5.1,1.4319,189.20
74,1.7,5,99970.65094,5.1,1.4505,189.60
74.1,1.6,4.75,97963.64384,5.1,1.4784,193.70
74,1.2,4.5,97963.64384,5.2,1.4624,195.00
74,1.4,4,97963.64384,5.2,1.4259,192.40
74.1,1.8,4,97623.26629,5.1,1.4556,191.60
74.1,1.7,4,101164.0065,5.2,1.4138,196.60
74.5,1.7,4,104704.7467,5.2,1.4184,207.70
74.9,1.6,4,106121.0428,5.2,1.4241,206.70
75.4,1.2,4,108852.471,5.2,1.462,209.70
73.7,1.1,4,113303.6873,5.2,1.4633,215.50
74.9,1.4,4,114214.1634,5.2,1.5293,216.20
75,1.3,4,116743.2635,5.3,1.5569,201.50
75.5,1.2,4,119575.8557,5.2,1.547,201.80
75.7,1.5,4,120486.3318,5.2,1.5696,205.10
75.9,1.6,4,121700.2998,5.1,1.5645,203.30
76,1.7,4,125746.8601,5,1.5559,202.90
76.2,1.4,4,124836.384,5.1,1.6095,209.40
76.6,1.6,4,123521.252,5.2,1.6437,220.70
76.5,1.6,3.75,126151.5161,5.1,1.5751,223.20
77,1.5,3.75,129186.4363,5,1.5746,215.00
76.8,1.3,3.75,128275.9603,4.9,1.6111,208.40
77.3,1.2,3.75,128579.4523,5.1,1.638,219.10
77.5,1.3,3.75,130805.0604,5.1,1.6625,214.60
77.6,1.4,3.5,133131.8326,5,1.608,216.20
78.1,1.3,3.5,132727.1765,5,1.5713,225.60
78.2,1.3,3.5,135053.9487,4.9,1.6678,235.00
77.9,1.3,3.5,133536.4886,4.9,1.6972,225.70
78.4,1.3,3.75,136166.7528,4.8,1.7218,230.70
78.1,1.5,3.75,136976.0648,4.8,1.7905,232.90
78.3,1.4,3.75,135660.9327,4.8,1.8202,226.90
78.8,1.2,4,135964.4248,4.8,1.8692,216.80
78.7,1.1,4,142135.4292,4.8,1.8577,222.60
78.9,1.4,4,143855.2173,4.8,1.7735,223.90
79.2,1.5,4.25,146384.3174,4.8,1.8374,214.70
79.1,1.4,4.5,149520.4016,4.7,1.8151,214.70
79.1,1.4,4.5,151240.1897,4.7,1.8187,216.00
79.4,1.2,4.75,150936.6977,4.7,1.7936,219.90
79.5,1.3,4.75,152049.5018,4.7,1.7961,226.10
79.5,1.5,4.75,151847.1738,4.7,1.8332,232.80
79.4,1.8,4.75,150734.3697,4.7,1.9283,236.20
80.1,1.7,4.75,150633.2057,4.8,1.9199,229.30
80.2,1.7,4.75,150488.4315,4.7,1.8799,226.00
79.9,2,4.75,151723.0387,4.7,1.9198,224.30
81,1.9,4.75,153880.3389,4.8,1.8888,227.70
80.7,1.9,4.75,155532.5123,4.8,1.91,226.40
81,2,4.75,156767.0554,4.7,1.8155,227.60
81.6,2.3,4.75,158785.7129,4.7,1.7717,236.90
81.5,2.4,4.75,159431.3031,4.7,1.7703,242.40
81.8,2.5,4.5,159183.1158,4.9,1.8291,244.10
81.9,2.4,4.5,158864.53,5.1,1.7688,252.40
82.6,2.2,4.5,159337.332,5.1,1.7614,266.40
83.2,2.1,4.5,160208.9727,5.1,1.7299,275.00
82.5,2.2,4.5,159969.9131,5.2,1.7166,291.70
82.7,2.2,4.5,160231.2181,5.2,1.7794,311.00
83.1,2,4.5,161530.5709,5.3,1.7531,317.70
82.8,2.2,4.5,165041.6836,5.4,1.7345,319.50
83.1,2.4,4.5,166605.7664,5.5,1.8179,345.20
83.4,2.6,4.5,168184.132,5.5,1.8681,361.10
82.8,2.5,4.5,170604.4111,5.5,1.8494,323.40
83.3,2.6,4.5,172036.6496,5.5,1.8676,343.50
83.6,2.5,4.75,172738.0135,5.5,1.9034,333.90
83.3,2.5,4.75,173749.7836,5.4,1.8682,317.40
83.5,2.8,4.75,174644.4066,5.5,1.907,312.30
83.8,2.9,5,176819.0361,5.5,1.9807,328.40
84,2.7,5,176757.9355,5.5,1.957,320.70
84.6,2.7,5.25,177261.0648,5.5,1.9705,322.20
84.9,2.9,5.25,178636.4297,5.5,1.9576,339.50
84.9,2.7,5.25,182242.6417,5.4,1.9613,336.30
85,2.5,5.25,184330.399,5.4,1.9992,341.20
85,2.5,5.5,186348.1192,5.3,1.979,336.20
85.1,2,5.5,188691.0297,5.3,2.0064,330.00
85.8,2,5.75,189785.659,5.3,2.0293,327.10
85.8,2,5.75,190031.91,5.2,2.0171,330.90
85.6,2.3,5.75,189588.8194,5.2,2.043,353.10
86.2,2.2,5.75,189489.2023,5.2,2.0817,369.00
86.6,2.3,5.75,189193.4909,5.2,2.0561,389.50
86.8,2.4,5.5,185781.6316,5.2,1.9909,397.30
86.9,2.6,5.5,184184.6548,5.2,1.9686,451.60
86.4,2.6,5.25,182844.7577,5.3,1.9892,469.60
87,3,5.25,183147.8404,5.2,1.9755,483.40
86.3,3.3,5,184267.3681,5.4,1.9746,459.10
86.1,3.7,5,181830.6502,5.5,1.9762,452.40
85.4,4.2,5,179845.201,5.7,1.9914,452.40
85.3,4.4,5,176092.3571,5.9,1.9739,472.70
84.4,4.8,5,171659.5213,6,1.7988,444.10
83.7,4.2,5,168177.1013,6.2,1.7704,461.10
82.9,3.8,4.5,163446.9347,6.4,1.6158,476.80
82.7,3,3,160954.2262,6.5,1.4839,496.50
82,2.9,2,157233.924,6.7,1.4376,548.10
81.7,3.1,1.5,155417.3852,7.1,1.4416,595.00
80.9,2.8,1,154452.3806,7.3,1.4255,654.80
81.8,2.3,0.5,155852.1556,7.6,1.438,652.20
80.8,2.1,0.5,158004.4662,7.8,1.4857,605.10
81,1.7,0.5,159561.0605,7.9,1.6428,602.00
81.6,1.6,0.5,162423.2686,7.9,1.6479,577.90
81.2,1.4,0.5,164025.3201,7.8,1.6579,570.80
81.6,1,0.5,165313.7701,7.9,1.6227,574.10
81.6,1.2,0.5,166424.9027,7.8,1.5986,610.40
81.7,1.5,0.5,166986.1487,7.8,1.6478,644.10
82,2.1,0.5,168081.6091,7.7,1.6627,679.10
81.4,2.6,0.5,167468.9299,7.9,1.6148,697.70
82.8,2.1,0.5,167887.6822,8,1.5903,691.80
83.4,2.4,0.5,167877.9508,8,1.4939,701.60
83.3,2.7,0.5,170027.8904,7.9,1.5282,739.60
83.6,2.5,0.5,170845.9251,7.9,1.5313,748.80
83.8,2.4,0.5,171688.537,7.8,1.47,824.40
83.9,2.3,0.5,173427.1067,7.8,1.5113,835.30
84.1,2.4,0.5,173417.4578,7.8,1.5661,780.00
84.3,2.4,0.5,172972.0443,7.9,1.546,776.60
84.6,2.5,0.5,171044.7244,7.9,1.5811,815.90
84.4,2.6,0.5,169013.1436,7.9,1.6049,846.00
83.6,3.1,0.5,168702.7214,7.9,1.5571,858.40
83.9,3.4,0.5,167300.2404,7.8,1.5655,891.00
84.3,3.7,0.5,166415.1603,7.8,1.6154,858.90
84.5,3.5,0.5,165648.5379,7.7,1.6309,851.00
83.8,3.8,0.5,168218.06,7.8,1.603,881.20
84.7,3.8,0.5,167469.7143,7.9,1.6648,901.60
84.7,3.6,0.5,167752.9093,8,1.6401,926.00
84.8,3.8,0.5,169865.8121,8.2,1.6046,942.80
84.5,3.9,0.5,169968.016,8.3,1.6259,974.10
84.8,4.5,0.5,169543.5734,8.4,1.616,1074.00
84,4.3,0.5,167673.168,8.5,1.5579,1122.30
85,4.1,0.5,167756.8878,8.4,1.5945,1056.60
85.6,3.7,0.5,167047.7706,8.4,1.5683,1100.30
85.9,3.2,0.5,165908.4809,8.3,1.5461,1060.00
85.2,3.1,0.5,165457.0798,8.2,1.5859,1067.70
85.7,3.1,0.5,165947.3274,8.2,1.5957,1102.80
85.1,2.8,0.5,167854.0205,8.1,1.5981,1057.90
86.3,2.5,0.5,168395.3676,8,1.622,1030.40
85.2,2.3,0.5,170049.1636,8,1.5334,996.90
86.6,2.4,0.5,170701.1966,7.9,1.5686,1025.40
87,2.3,0.5,170902.3776,7.9,1.5589,1022.50
85.9,2.1,0.5,170295.1292,7.9,1.5882,1034.40
86.2,2.4,0.5,169089.5181,7.8,1.6152,1082.30
86.4,2.4,0.5,169227.2509,7.8,1.6142,1086.50
86.3,2.4,0.5,168842.8434,7.8,1.6028,1078.40
86.2,2.4,0.5,167715.5946,8,1.6168,1046.20
86.9,2.5,0.5,167682.4598,7.8,1.5745,1047.20
86.9,2.5,0.5,168681.4684,7.8,1.5009,1051.50
86.8,2.2,0.5,170335.3686,7.8,1.5181,1056.50
87.2,2.4,0.5,171233.7538,7.7,1.5552,969.70
87.3,2.6,0.5,172654.5105,7.7,1.5161,924.70
87.7,2.5,0.5,174592.2607,7.7,1.5225,867.10
87.9,2.4,0.5,175982.2931,7.6,1.5161,848.00
87.9,2.4,0.5,176097.8275,7.4,1.5471,868.70
88.5,2,0.5,175378.3971,7.2,1.6204,850.50
88.4,1.9,0.5,176351.5657,7.2,1.5922,817.80
88,1.9,0.5,177970.632,7.2,1.6383,792.40
88.3,1.8,0.5,178182.1947,6.9,1.6528,748.70
89.1,1.6,0.5,178921.4398,6.8,1.6435,755.80
89.8,1.5,0.5,179536.8481,6.6,1.6758,785.20
89.8,1.7,0.5,183531.6143,6.4,1.6636,803.80
90.1,1.5,0.5,185476.4913,6.3,1.6895,775.80
90.2,1.8,0.5,187077.4797,6.1,1.6774,764.40
90.7,1.6,0.5,189709.2488,6,1.7138,756.50
90.6,1.5,0.5,191932.1115,6,1.6839,768.10
91,1.3,0.5,192138.056,6,1.6615,775.60
91.2,1.3,0.5,191854.5777,5.9,1.6203,759.80
91.2,1.1,0.5,191209.195,5.7,1.5999,760.80
91.6,0.7,0.5,191669.3105,5.7,1.5722,745.50
91.3,0.5,0.5,190664.9416,5.6,1.5608,768.40
91.6,0.4,0.5,190827.1002,5.5,1.5018,826.80
91.8,0.3,0.5,191537.2634,5.5,1.5451,800.50
92.3,0.3,0.5,193224.7186,5.6,1.4816,788.00
92.1,0.4,0.5,195313.124,5.6,1.5177,800.60
92,0.3,0.5,196802.4578,5.5,1.5207,775.10
92.3,0.5,0.5,200141.5615,5.4,1.5633,759.00
92.3,0.4,0.5,201973.3647,5.3,1.5606,726.30
92.6,0.2,0.5,202388.7291,5.2,1.5325,717.10
93,0.2,0.5,202664.3387,5.1,1.5155,733.70
93,0.4,0.5,204223.2345,5.1,1.5443,755.70
93.1,0.5,0.5,204920.2481,5.1,1.5054,714.70
93.1,0.6,0.5,205464.2926,5.1,1.4819,712.50
93.4,0.6,0.5,205555.4075,5.1,1.4366,763.30
93.7,0.8,0.5,207667.1658,5,1.3925,839.70
94.2,0.7,0.5,208443.2286,4.9,1.4185,874.70
94,0.7,0.5,210872.4183,4.9,1.465,868.00
94.2,0.8,0.5,212886.5299,4.9,1.4414,867.60
94.6,0.9,0.5,215126.9772,5,1.327,900.10
94.6,1,0.5,215144.9613,4.8,1.3206,1017.70
94.9,1.3,0.25,214816.236,4.8,1.3299,1023.70
95.1,1.3,0.25,214106.8334,4.8,1.2991,1009.00
95.3,1.5,0.25,215113.0566,4.7,1.222,1027.50
95.4,1.8,0.25,215499.8314,4.7,1.2622,994.30
95.8,1.9,0.25,215242.5623,4.6,1.2303,920.40
95.9,2.3,0.25,215697.4753,4.6,1.2647,965.90
96,2.3,0.25,215236.3504,4.5,1.2317,988.30
96.2,2.6,0.25,218641.5946,4.4,1.2507,996.90
96.5,2.7,0.25,219953.663,4.4,1.2938,1000.60
96.6,2.6,0.25,221833.4783,4.3,1.2903,962.70
96.7,2.6,0.25,224719.137,4.3,1.299,983.60
97,2.7,0.25,225738.1678,4.3,1.3229,951.40
97.5,2.8,0.25,224895.0198,4.2,1.2973,990.00
97.5,2.8,0.25,225092.3259,4.3,1.3416,987.40
97.8,2.8,0.25,224452.6722,4.4,1.3257,969.60
97.4,2.7,0.5,225329.9776,4.3,1.349,970.10
97.4,2.7,0.5,224543.7559,4.2,1.351,941.50
97.4,2.5,0.5,225131.191,4.2,1.4237,962.90
97.9,2.3,0.5,223772.1802,4.2,1.3725,953.80
97.7,2.2,0.5,225910.188,4.2,1.4033,948.30
98.1,2.3,0.5,226833.8665,4,1.3596,947.80
98.3,2.3,0.5,228355.3098,4,1.3331,968.20
98.5,2.3,0.5,231187.016,4,1.3203,964.40
98.7,2.4,0.5,231897.7019,4.1,1.3122,940.50
98.8,2.2,0.75,231454.2502,4.1,1.2994,932.70
98.7,2.2,0.75,231211.2302,4,1.3043,917.60
99.1,2.2,0.75,230224.3035,4,1.2974,934.20
99,2,0.75,229729.2591,3.9,1.276,946.50
99.3,1.8,0.75,228314.4927,3.9,1.2769,986.10
99.7,1.8,0.75,227738.4642,3.8,1.3093,1001.40
99.7,1.8,0.75,227103.9623,3.8,1.3243,1014.20
99.3,2,0.75,228749.3498,3.8,1.3141,988.10
99.6,1.9,0.75,229061.1192,3.9,1.3083,986.80
99.9,1.9,0.75,230049.0452,3.8,1.2602,1000.00
100.3,2,0.75,232618.1464,3.9,1.2652,1071.90
100.3,1.7,0.75,233366.1371,3.8,1.2152,1133.50
100.7,1.7,0.75,233536.15,3.8,1.2183,1233.20
100.5,1.5,0.75,232919.4018,3.8,1.2223,1223.40
100.3,1.5,0.75,232096.426,3.8,1.2947,1182.60
100.4,1.4,0.75,231792.2947,3.9,1.2936,1141.00
100.7,1.8,0.75,231939.909,4,1.321,1125.90
100.2,1.7,0.75,230609.0017,4,1.3179,1194.00
93.1,1.5,0.75,232683.8062,4.1,1.2776,1232.70
73.7,0.9,0.1,230317.758,4.1,1.2424,1288.10
76,0.7,0.1,231507.7098,4.1,1.2547,1356.00
82.8,0.8,0.1,234703.2452,4.3,1.2481,1395.70
88.9,1.1,0.1,236686.9285,4.6,1.2458,1383.30
90.8,0.5,0.1,238997.6916,4.9,1.3126,1452.10
91.8,0.7,0.1,241541.4024,5.1,1.345,1500.20
92.3,0.9,0.1,243575.4827,5.1,1.287,1483.70
90.7,0.6,0.1,246064.9811,5.2,1.2933,1463.40
92.3,0.8,0.1,247983.412,5.1,1.3364,1411.00
89.5,0.9,0.1,249689.5341,5.1,1.3649,1384.20
90.1,0.7,0.1,249586.1029,4.9,1.3663,1369.50
92.3,1,0.1,253505.551,4.9,1.3938,1304.00
95.2,1.6,0.1,250209.6713,4.9,1.3819,1239.80
96.6,2.1,0.1,251285.4804,4.7,1.3845,1272.60
97.6,2.4,0.1,265676.0755,4.6,1.4173,1315.00
97.4,2.1,0.1,252961.2289,4.4,1.377,1307.90
98.2,3,0.1,260430.3852,4.3,1.3907,1308.80
98.8,2.9,0.1,269236.8944,4.2,1.3786,1292.90
99,3.8,0.1,264044.1865,4.1,1.354,1294.20
100,4.6,0.1,268666.121,4,1.3678,1297.40
100.1,4.8,0.1,269422.5255,4,1.3315,1353.70
100.3,4.9,0.25,275419.5892,3.8,1.3477,1344.80
100.4,5.5,0.25,275411.414,3.7,1.3506,1339.60
100.5,6.2,0.5,277357.7286,3.8,1.3352,1371.30
100.5,7.8,0.75,280991.6568,3.8,1.3109,1478.70
101,7.9,0.75,283488.0933,3.8,1.2556,1497.30
100.4,8.2,1,287166.1887,3.6,1.2496,1485.40
