,Title,BankRate
0,01/01/1976,11.25
1,01/02/1976,10.5
2,01/03/1976,9.25
3,01/04/1976,9.0
4,01/05/1976,10.5
5,01/06/1976,11.5
6,01/07/1976,11.5
7,01/08/1976,11.5
8,01/09/1976,11.5
9,01/10/1976,13.0
10,01/11/1976,15.0
11,01/12/1976,14.75
12,01/01/1977,14.25
13,01/02/1977,12.25
14,01/03/1977,12.0
15,01/04/1977,9.5
16,01/05/1977,8.75
17,01/06/1977,8.0
18,01/07/1977,8.0
19,01/08/1977,8.0
20,01/09/1977,7.0
21,01/10/1977,6.0
22,01/11/1977,5.0
23,01/12/1977,7.0
24,01/01/1978,7.0
25,01/02/1978,6.5
26,01/03/1978,6.5
27,01/04/1978,6.5
28,01/05/1978,7.5
29,01/06/1978,9.0
30,01/07/1978,10.0
31,01/08/1978,10.0
32,01/09/1978,10.0
33,01/10/1978,10.0
34,01/11/1978,10.0
35,01/12/1978,12.5
36,01/01/1979,12.5
37,01/02/1979,12.5
38,01/03/1979,13.0
39,01/04/1979,13.0
40,01/05/1979,12.0
41,01/06/1979,12.0
42,01/07/1979,14.0
43,01/08/1979,14.0
44,01/09/1979,14.0
45,01/10/1979,14.0
46,01/11/1979,14.0
47,01/12/1979,17.0
48,01/01/1980,17.0
49,01/02/1980,17.0
50,01/03/1980,17.0
51,01/04/1980,17.0
52,01/05/1980,17.0
53,01/06/1980,17.0
54,01/07/1980,17.0
55,01/08/1980,16.0
56,01/09/1980,16.0
57,01/10/1980,16.0
58,01/11/1980,16.0
59,01/12/1980,14.0
60,01/01/1981,14.0
61,01/02/1981,14.0
62,01/03/1981,14.0
63,01/04/1981,12.0
64,01/05/1981,12.0
65,01/06/1981,12.0
66,01/07/1981,12.0
67,01/08/1981,12.0
68,01/09/1981,12.69
69,01/10/1981,14.0
70,01/11/1981,15.13
71,01/12/1981,14.56
72,01/01/1982,14.38
73,01/02/1982,13.88
74,01/03/1982,13.63
75,01/04/1982,13.25
76,01/05/1982,13.13
77,01/06/1982,13.13
78,01/07/1982,12.63
79,01/08/1982,11.63
80,01/09/1982,10.63
81,01/10/1982,10.13
82,01/11/1982,9.38
83,01/12/1982,10.0
84,01/01/1983,10.0
85,01/02/1983,11.0
86,01/03/1983,11.0
87,01/04/1983,10.56
88,01/05/1983,10.06
89,01/06/1983,10.06
90,01/07/1983,9.56
91,01/08/1983,9.56
92,01/09/1983,9.56
93,01/10/1983,9.56
94,01/11/1983,9.06
95,01/12/1983,9.06
96,01/01/1984,9.06
97,01/02/1984,9.06
98,01/03/1984,9.06
99,01/04/1984,8.56
100,01/05/1984,8.56
101,01/06/1984,9.06
102,01/07/1984,8.88
103,01/08/1984,12.0
104,01/09/1984,10.5
105,01/10/1984,10.5
106,01/11/1984,10.5
107,01/12/1984,9.5
108,01/01/1985,9.5
109,01/02/1985,13.88
110,01/03/1985,13.88
111,01/04/1985,12.88
112,01/05/1985,12.38
113,01/06/1985,12.38
114,01/07/1985,12.38
115,01/08/1985,11.38
116,01/09/1985,11.38
117,01/10/1985,11.38
118,01/11/1985,11.38
119,01/12/1985,11.38
120,01/01/1986,11.38
121,01/02/1986,12.38
122,01/03/1986,12.38
123,01/04/1986,11.38
124,01/05/1986,10.38
125,01/06/1986,9.88
126,01/07/1986,9.88
127,01/08/1986,9.88
128,01/09/1986,9.88
129,01/10/1986,9.88
130,01/11/1986,10.88
131,01/12/1986,10.88
132,01/01/1987,10.88
133,01/02/1987,10.88
134,01/03/1987,10.88
135,01/04/1987,9.88
136,01/05/1987,9.38
137,01/06/1987,8.88
138,01/07/1987,8.88
139,01/08/1987,8.88
140,01/09/1987,9.88
141,01/10/1987,9.88
142,01/11/1987,9.38
143,01/12/1987,8.88
144,01/01/1988,8.38
145,01/02/1988,8.88
146,01/03/1988,8.88
147,01/04/1988,8.38
148,01/05/1988,7.88
149,01/06/1988,7.38
150,01/07/1988,8.88
151,01/08/1988,10.38
152,01/09/1988,11.88
153,01/10/1988,11.88
154,01/11/1988,11.88
155,01/12/1988,12.88
156,01/01/1989,12.88
157,01/02/1989,12.88
158,01/03/1989,12.88
159,01/04/1989,12.88
160,01/05/1989,12.88
161,01/06/1989,13.75
162,01/07/1989,13.75
163,01/08/1989,13.75
164,01/09/1989,13.84
165,01/10/1989,13.75
166,01/11/1989,14.88
167,01/12/1989,14.88
168,01/01/1990,14.88
169,01/02/1990,14.88
170,01/03/1990,14.88
171,01/04/1990,14.88
172,01/05/1990,14.88
173,01/06/1990,14.88
174,01/07/1990,14.88
175,01/08/1990,14.88
176,01/09/1990,14.88
177,01/10/1990,14.88
178,01/11/1990,13.88
179,01/12/1990,13.88
180,01/01/1991,13.88
181,01/02/1991,13.88
182,01/03/1991,12.88
183,01/04/1991,12.38
184,01/05/1991,11.88
185,01/06/1991,11.38
186,01/07/1991,11.38
187,01/08/1991,10.88
188,01/09/1991,10.88
189,01/10/1991,10.38
190,01/11/1991,10.38
191,01/12/1991,10.38
192,01/01/1992,10.38
193,01/02/1992,10.38
194,01/03/1992,10.38
195,01/04/1992,10.38
196,01/05/1992,10.38
197,01/06/1992,9.88
198,01/07/1992,9.88
199,01/08/1992,9.88
200,01/09/1992,9.88
201,01/10/1992,8.88
202,01/11/1992,7.88
203,01/12/1992,6.88
204,01/01/1993,6.88
205,01/02/1993,5.88
206,01/03/1993,5.88
207,01/04/1993,5.88
208,01/05/1993,5.88
209,01/06/1993,5.88
210,01/07/1993,5.88
211,01/08/1993,5.88
212,01/09/1993,5.88
213,01/10/1993,5.88
214,01/11/1993,5.88
215,01/12/1993,5.38
216,01/01/1994,5.38
217,01/02/1994,5.38
218,01/03/1994,5.13
219,01/04/1994,5.13
220,01/05/1994,5.13
221,01/06/1994,5.13
222,01/07/1994,5.13
223,01/08/1994,5.13
224,01/09/1994,5.13
225,01/10/1994,5.63
226,01/11/1994,5.63
227,01/12/1994,5.63
228,01/01/1995,6.13
229,01/02/1995,6.13
230,01/03/1995,6.63
231,01/04/1995,6.63
232,01/05/1995,6.63
233,01/06/1995,6.63
234,01/07/1995,6.63
235,01/08/1995,6.63
236,01/09/1995,6.63
237,01/10/1995,6.63
238,01/11/1995,6.63
239,01/12/1995,6.63
240,01/01/1996,6.38
241,01/02/1996,6.13
242,01/03/1996,6.13
243,01/04/1996,5.94
244,01/05/1996,5.94
245,01/06/1996,5.94
246,01/07/1996,5.69
247,01/08/1996,5.69
248,01/09/1996,5.69
249,01/10/1996,5.69
250,01/11/1996,5.94
251,01/12/1996,5.94
252,01/01/1997,5.94
253,01/02/1997,5.94
254,01/03/1997,5.94
255,01/04/1997,5.94
256,01/05/1997,5.94
257,01/06/1997,6.25
258,01/07/1997,6.5
259,01/08/1997,6.75
260,01/09/1997,7.0
261,01/10/1997,7.0
262,01/11/1997,7.0
263,01/12/1997,7.25
264,01/01/1998,7.25
265,01/02/1998,7.25
266,01/03/1998,7.25
267,01/04/1998,7.25
268,01/05/1998,7.25
269,01/06/1998,7.25
270,01/07/1998,7.5
271,01/08/1998,7.5
272,01/09/1998,7.5
273,01/10/1998,7.5
274,01/11/1998,7.25
275,01/12/1998,6.75
276,01/01/1999,6.25
277,01/02/1999,6.0
278,01/03/1999,5.5
279,01/04/1999,5.5
280,01/05/1999,5.25
281,01/06/1999,5.25
282,01/07/1999,5.0
283,01/08/1999,5.0
284,01/09/1999,5.0
285,01/10/1999,5.25
286,01/11/1999,5.25
287,01/12/1999,5.5
288,01/01/2000,5.5
289,01/02/2000,5.75
290,01/03/2000,6.0
291,01/04/2000,6.0
292,01/05/2000,6.0
293,01/06/2000,6.0
294,01/07/2000,6.0
295,01/08/2000,6.0
296,01/09/2000,6.0
297,01/10/2000,6.0
298,01/11/2000,6.0
299,01/12/2000,6.0
300,01/01/2001,6.0
301,01/02/2001,6.0
302,01/03/2001,5.75
303,01/04/2001,5.75
304,01/05/2001,5.5
305,01/06/2001,5.25
306,01/07/2001,5.25
307,01/08/2001,5.25
308,01/09/2001,5.0
309,01/10/2001,4.75
310,01/11/2001,4.5
311,01/12/2001,4.0
312,01/01/2002,4.0
313,01/02/2002,4.0
314,01/03/2002,4.0
315,01/04/2002,4.0
316,01/05/2002,4.0
317,01/06/2002,4.0
318,01/07/2002,4.0
319,01/08/2002,4.0
320,01/09/2002,4.0
321,01/10/2002,4.0
322,01/11/2002,4.0
323,01/12/2002,4.0
324,01/01/2003,4.0
325,01/02/2003,4.0
326,01/03/2003,3.75
327,01/04/2003,3.75
328,01/05/2003,3.75
329,01/06/2003,3.75
330,01/07/2003,3.75
331,01/08/2003,3.5
332,01/09/2003,3.5
333,01/10/2003,3.5
334,01/11/2003,3.5
335,01/12/2003,3.75
336,01/01/2004,3.75
337,01/02/2004,3.75
338,01/03/2004,4.0
339,01/04/2004,4.0
340,01/05/2004,4.0
341,01/06/2004,4.25
342,01/07/2004,4.5
343,01/08/2004,4.5
344,01/09/2004,4.75
345,01/10/2004,4.75
346,01/11/2004,4.75
347,01/12/2004,4.75
348,01/01/2005,4.75
349,01/02/2005,4.75
350,01/03/2005,4.75
351,01/04/2005,4.75
352,01/05/2005,4.75
353,01/06/2005,4.75
354,01/07/2005,4.75
355,01/08/2005,4.75
356,01/09/2005,4.5
357,01/10/2005,4.5
358,01/11/2005,4.5
359,01/12/2005,4.5
360,01/01/2006,4.5
361,01/02/2006,4.5
362,01/03/2006,4.5
363,01/04/2006,4.5
364,01/05/2006,4.5
365,01/06/2006,4.5
366,01/07/2006,4.5
367,01/08/2006,4.5
368,01/09/2006,4.75
369,01/10/2006,4.75
370,01/11/2006,4.75
371,01/12/2006,5.0
372,01/01/2007,5.0
373,01/02/2007,5.25
374,01/03/2007,5.25
375,01/04/2007,5.25
376,01/05/2007,5.25
377,01/06/2007,5.5
378,01/07/2007,5.5
379,01/08/2007,5.75
380,01/09/2007,5.75
381,01/10/2007,5.75
382,01/11/2007,5.75
383,01/12/2007,5.75
384,01/01/2008,5.5
385,01/02/2008,5.5
386,01/03/2008,5.25
387,01/04/2008,5.25
388,01/05/2008,5.0
389,01/06/2008,5.0
390,01/07/2008,5.0
391,01/08/2008,5.0
392,01/09/2008,5.0
393,01/10/2008,5.0
394,01/11/2008,4.5
395,01/12/2008,3.0
396,01/01/2009,2.0
397,01/02/2009,1.5
398,01/03/2009,1.0
399,01/04/2009,0.5
400,01/05/2009,0.5
401,01/06/2009,0.5
402,01/07/2009,0.5
403,01/08/2009,0.5
404,01/09/2009,0.5
405,01/10/2009,0.5
406,01/11/2009,0.5
407,01/12/2009,0.5
408,01/01/2010,0.5
409,01/02/2010,0.5
410,01/03/2010,0.5
