Date,"Spot exchange rate, US $ into Sterling                          XUDLUSS"
02/01/1975,2.3359
03/01/1975,2.3414
06/01/1975,2.3518
07/01/1975,2.3552
08/01/1975,2.3485
09/01/1975,2.3496
10/01/1975,2.3524
13/01/1975,2.354
14/01/1975,2.3469
15/01/1975,2.3507
16/01/1975,2.3535
17/01/1975,2.3535
20/01/1975,2.3563
21/01/1975,2.3635
22/01/1975,2.3906
23/01/1975,2.381
24/01/1975,2.3832
27/01/1975,2.3992
28/01/1975,2.3827
29/01/1975,2.3708
30/01/1975,2.3753
31/01/1975,2.381
03/02/1975,2.3747
04/02/1975,2.3691
05/02/1975,2.3697
06/02/1975,2.368
07/02/1975,2.3736
10/02/1975,2.3855
11/02/1975,2.3827
12/02/1975,2.3889
13/02/1975,2.3901
14/02/1975,2.3906
17/02/1975,2.3929
18/02/1975,2.3935
19/02/1975,2.3975
20/02/1975,2.401
21/02/1975,2.4027
24/02/1975,2.4225
25/02/1975,2.4166
26/02/1975,2.4242
27/02/1975,2.4278
28/02/1975,2.429
03/03/1975,2.4325
04/03/1975,2.4295
05/03/1975,2.4337
06/03/1975,2.4278
07/03/1975,2.4079
10/03/1975,2.4062
11/03/1975,2.4219
12/03/1975,2.4102
13/03/1975,2.4155
14/03/1975,2.4178
17/03/1975,2.419
18/03/1975,2.4254
19/03/1975,2.429
20/03/1975,2.4242
21/03/1975,2.4207
24/03/1975,2.4172
25/03/1975,2.4155
26/03/1975,2.4125
27/03/1975,2.4027
01/04/1975,2.4079
02/04/1975,2.4079
03/04/1975,2.4021
04/04/1975,2.3906
07/04/1975,2.3798
08/04/1975,2.3815
09/04/1975,2.3781
10/04/1975,2.3629
11/04/1975,2.3657
14/04/1975,2.3568
15/04/1975,2.3657
16/04/1975,2.3663
17/04/1975,2.3674
18/04/1975,2.3747
21/04/1975,2.3624
22/04/1975,2.354
23/04/1975,2.3702
24/04/1975,2.3596
25/04/1975,2.3524
28/04/1975,2.3458
29/04/1975,2.354
30/04/1975,2.3524
01/05/1975,2.3491
02/05/1975,2.3392
05/05/1975,2.3408
06/05/1975,2.3392
07/05/1975,2.3392
08/05/1975,2.3397
09/05/1975,2.3202
12/05/1975,2.302
13/05/1975,2.3079
14/05/1975,2.3057
15/05/1975,2.302
16/05/1975,2.3026
19/05/1975,2.3031
20/05/1975,2.3036
21/05/1975,2.3143
22/05/1975,2.3283
23/05/1975,2.3272
27/05/1975,2.3267
28/05/1975,2.3256
29/05/1975,2.3164
30/05/1975,2.317
02/06/1975,2.3186
03/06/1975,2.3213
04/06/1975,2.3186
05/06/1975,2.3223
06/06/1975,2.3218
09/06/1975,2.3175
10/06/1975,2.31
11/06/1975,2.2868
12/06/1975,2.2789
13/06/1975,2.2868
16/06/1975,2.2784
17/06/1975,2.2717
18/06/1975,2.2732
19/06/1975,2.2732
20/06/1975,2.2717
23/06/1975,2.2712
24/06/1975,2.2558
25/06/1975,2.2548
26/06/1975,2.2457
27/06/1975,2.2247
30/06/1975,2.1844
01/07/1975,2.2109
02/07/1975,2.1997
03/07/1975,2.1959
04/07/1975,2.1939
07/07/1975,2.1839
08/07/1975,2.1964
09/07/1975,2.2075
10/07/1975,2.2017
11/07/1975,2.2007
14/07/1975,2.1906
15/07/1975,2.1887
16/07/1975,2.1829
17/07/1975,2.1825
18/07/1975,2.1763
21/07/1975,2.1739
22/07/1975,2.1801
23/07/1975,2.1786
24/07/1975,2.1796
25/07/1975,2.1796
28/07/1975,2.1758
29/07/1975,2.1749
30/07/1975,2.1626
31/07/1975,2.1515
01/08/1975,2.1496
04/08/1975,2.1413
05/08/1975,2.1409
06/08/1975,2.1286
07/08/1975,2.1035
08/08/1975,2.103
11/08/1975,2.1022
12/08/1975,2.1039
13/08/1975,2.1079
14/08/1975,2.1079
15/08/1975,2.1084
18/08/1975,2.1079
19/08/1975,2.1173
20/08/1975,2.1191
21/08/1975,2.1115
22/08/1975,2.1061
26/08/1975,2.1093
27/08/1975,2.1097
28/08/1975,2.1097
29/08/1975,2.1101
01/09/1975,2.107
02/09/1975,2.1088
03/09/1975,2.1119
04/09/1975,2.1079
05/09/1975,2.1088
08/09/1975,2.1101
09/09/1975,2.1128
10/09/1975,2.1101
11/09/1975,2.1101
